         18571687 function calls (17837496 primitive calls) in 21.574 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.001    0.000    0.266    0.004 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_axes.py:204(legend)
    29000    0.049    0.000    0.264    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/torch_geometric/data/storage.py:91(__setattr__)
    17400    0.017    0.000    0.263    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/torch_geometric/data/data.py:484(__setattr__)
       60    0.008    0.000    0.263    0.004 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/legend.py:354(__init__)
     2330    0.259    0.000    0.259    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
  1063888    0.190    0.000    0.256    0.000 {built-in method builtins.isinstance}
    30040    0.045    0.000    0.252    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/cbook.py:909(get_siblings)
    68878    0.248    0.000    0.248    0.000 {method 'integers' of 'numpy.random._generator.Generator' objects}
75219/72259    0.036    0.000    0.248    0.000 {built-in method builtins.next}
    12980    0.026    0.000    0.229    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:813(from_extents)
    31230    0.052    0.000    0.226    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
    32220    0.108    0.000    0.222    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:758(__init__)
       60    0.003    0.000    0.221    0.004 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/legend.py:854(_init_legend_box)
    10260    0.029    0.000    0.219    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:447(update_position)
      740    0.008    0.000    0.219    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:187(draw_text)
    13350    0.010    0.000    0.216    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1340(__add__)
     7320    0.022    0.000    0.216    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1472(transform)
    17610    0.014    0.000    0.209    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:899(copy)
    45310    0.032    0.000    0.209    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:416(pchanged)
    14781    0.119    0.000    0.205    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Simulator/RDDLSimulator.py:222(_check_range)
    13430    0.016    0.000    0.205    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2498(composite_transform_factory)
     6060    0.014    0.000    0.202    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Simulator/RDDLSimulator.py:428(_sample_arithmetic)
      180    0.002    0.000    0.202    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:2300(add_line)
   216055    0.180    0.000    0.196    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Parser/expr.py:77(args)
    10330    0.010    0.000    0.194    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:804(from_bounds)
     6750    0.027    0.000    0.193    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:595(__init__)
    17400    0.192    0.000    0.192    0.000 {method '_write_file' of 'torch._C.StorageBase' objects}
